iceberg_id,date,latitude,longitude,previous_delta_latitude,previous_delta_longitude,drift_speed_kmh,drift_heading_deg,size_1_nm,size_2_nm,sin_doy,cos_doy,current_extent,next_delta_latitude,next_delta_longitude,u10_t,v10_t,uo_t,vo_t
A68A,2020-01-07,-63.9544,-53.8618,0.0,0.0,0.0,0.0,0.0,0.0,0.12013,0.99276,5.611,-0.0237,0.2416,2.6422,-5.9372,0.1221,0.0202
A68A,2020-01-08,-63.9781,-53.6202,-0.0237,0.2416,0.5034,102.71,0.0,0.0,0.13719,0.99055,5.432,0.0049,0.0855,0.421,-4.7035,0.1121,-0.0015
A68A,2020-01-09,-63.9732,-53.5347,0.0049,0.0855,0.1753,82.6,0.0,0.0,0.1542,0.98804,5.235,0.0065,0.0847,0.6718,-4.3729,0.1106,-0.0082
A68A,2020-01-10,-63.9667,-53.45,0.0065,0.0847,0.1748,80.12,82.0,26.0,0.17118,0.98524,5.065,0.0092,0.0832,0.6037,-4.8439,0.1201,-0.0197
A68A,2020-01-11,-63.9575,-53.3668,0.0092,0.0832,0.1745,75.9,0.0,0.0,0.1881,0.98215,4.962,0.0126,0.0813,3.9352,-6.5074,0.1613,0.0065
A68A,2020-01-12,-63.9449,-53.2855,0.0126,0.0813,0.1754,70.6,0.0,0.0,0.20497,0.97877,4.863,0.0155,0.08,5.9748,-4.2711,0.1258,0.0485
A68A,2020-01-13,-63.9294,-53.2055,0.0155,0.08,0.178,66.24,0.0,0.0,0.22177,0.9751,4.726,0.0177,0.0796,2.3641,0.6374,0.0586,0.0294
A68A,2020-01-14,-63.9117,-53.1259,0.0177,0.0796,0.1817,63.21,0.0,0.0,0.23851,0.97114,4.602,0.0195,0.0797,-1.8006,1.6342,0.0324,0.0069
A68A,2020-01-15,-63.8922,-53.0462,0.0195,0.0797,0.1859,60.95,0.0,0.0,0.25518,0.96689,4.442,0.0207,0.0807,-4.0726,0.7604,0.024,-0.0124
A68A,2020-01-16,-63.8715,-52.9655,0.0207,0.0807,0.1905,59.81,0.0,0.0,0.27178,0.96236,4.393,0.0215,0.0822,-2.78,1.7429,0.0181,-0.0003
A68A,2020-01-17,-63.85,-52.8833,0.0215,0.0822,0.1951,59.34,82.0,26.0,0.28829,0.95754,4.356,0.0239,0.0888,0.4608,2.0432,0.016,0.0322
A68A,2020-01-18,-63.8261,-52.7945,0.0239,0.0888,0.2125,58.64,0.0,0.0,0.30472,0.95244,4.249,0.0276,0.0966,1.6708,5.5886,-0.0137,0.0543
A68A,2020-01-19,-63.7985,-52.6979,0.0276,0.0966,0.2353,57.12,0.0,0.0,0.32106,0.94706,4.154,0.0307,0.0989,3.2582,3.1479,0.0141,0.072
A68A,2020-01-20,-63.7678,-52.599,0.0307,0.0989,0.2474,54.95,0.0,0.0,0.3373,0.9414,4.016,0.0326,0.0962,3.8506,4.335,-0.0034,0.0997
A68A,2020-01-21,-63.7352,-52.5028,0.0326,0.0962,0.2483,52.58,0.0,0.0,0.35344,0.93546,4.009,0.0339,0.0881,2.4551,2.5275,0.0162,0.07
A68A,2020-01-22,-63.7013,-52.4147,0.0339,0.0881,0.2394,49.05,0.0,0.0,0.36948,0.92924,3.949,0.0343,0.075,4.0485,2.9716,0.0045,0.1001
A68A,2020-01-23,-63.667,-52.3397,0.0343,0.075,0.2213,44.14,0.0,0.0,0.38541,0.92274,3.92,0.0337,0.0564,1.0171,-0.8303,0.0257,0.0384
A68A,2020-01-24,-63.6333,-52.2833,0.0337,0.0564,0.1945,36.63,82.0,26.0,0.40123,0.91598,3.825,0.0349,0.0454,-1.4887,1.1756,-0.0174,0.0127
A68A,2020-01-25,-63.5984,-52.2379,0.0349,0.0454,0.1868,30.05,0.0,0.0,0.41693,0.90894,3.755,0.0376,0.0439,3.0075,2.7227,-0.0272,0.0667
A68A,2020-01-26,-63.5608,-52.194,0.0376,0.0439,0.1963,27.47,0.0,0.0,0.4325,0.90163,3.679,0.0387,0.0405,-1.165,0.2884,-0.0126,0.0153
A68A,2020-01-27,-63.5221,-52.1535,0.0387,0.0405,0.1978,25.02,0.0,0.0,0.44794,0.89406,3.606,0.0385,0.035,-4.55,-3.1251,0.0331,-0.0698
A68A,2020-01-28,-63.4836,-52.1185,0.0385,0.035,0.1925,22.09,0.0,0.0,0.46326,0.88622,3.583,0.0369,0.0274,-4.219,-6.0168,0.0867,-0.0524
A68A,2020-01-29,-63.4467,-52.0911,0.0369,0.0274,0.1801,18.36,0.0,0.0,0.47843,0.87812,3.481,0.0339,0.018,-5.3698,-8.3346,0.1124,-0.0884
A68A,2020-01-30,-63.4128,-52.0731,0.0339,0.018,0.1614,13.37,0.0,0.0,0.49347,0.86976,3.431,0.0295,0.0064,-5.4641,-6.6518,0.0635,-0.0737
A68A,2020-01-31,-63.3833,-52.0667,0.0295,0.0064,0.1373,5.55,82.0,26.0,0.50836,0.86115,3.436,0.0251,-0.01,-5.8963,-3.6656,0.0278,-0.0793
A68A,2020-02-01,-63.3582,-52.0767,0.0251,-0.01,0.1181,349.87,0.0,0.0,0.52309,0.85227,3.375,0.0223,-0.0264,-3.8037,-3.9885,0.0306,-0.0681
A68A,2020-02-02,-63.3359,-52.1031,0.0223,-0.0264,0.117,332.02,0.0,0.0,0.53768,0.84315,3.335,0.0206,-0.0376,-4.1333,-8.2764,0.0963,-0.082
A68A,2020-02-03,-63.3153,-52.1407,0.0206,-0.0376,0.1234,320.65,0.0,0.0,0.5521,0.83378,3.233,-0.0925,0.1063,7.3251,0.4361,0.0545,0.0834
A68A,2020-02-04,-63.4078,-52.0344,-0.0925,0.1063,0.4821,152.79,0.0,0.0,0.56636,0.82416,3.239,0.0255,-0.0076,2.4079,4.4017,-0.0209,0.0635
A68A,2020-02-05,-63.3823,-52.042,0.0255,-0.0076,0.1192,352.39,0.0,0.0,0.58045,0.81429,3.19,0.0298,-0.0211,1.714,4.4863,-0.0288,0.0631
A68A,2020-02-06,-63.3525,-52.0631,0.0298,-0.0211,0.1449,342.38,0.0,0.0,0.59438,0.80419,3.138,0.1192,-0.2369,4.1817,-1.9949,0.0509,0.0607
A68A,2020-02-07,-63.2333,-52.3,0.1192,-0.2369,0.7405,318.12,82.0,26.0,0.60812,0.79384,3.091,-0.0516,0.165,6.1802,8.6983,-0.0639,0.1439
A68A,2020-02-08,-63.2849,-52.135,-0.0516,0.165,0.4189,124.87,0.0,0.0,0.62169,0.78327,3.059,0.0353,-0.0454,3.6135,2.6896,0.0143,0.0401
A68A,2020-02-09,-63.2496,-52.1804,0.0353,-0.0454,0.1889,329.93,0.0,0.0,0.63507,0.77246,3.023,0.0346,-0.0481,4.1008,1.6499,0.0034,0.0399
A68A,2020-02-10,-63.215,-52.2285,0.0346,-0.0481,0.1891,327.93,0.0,0.0,0.64826,0.76142,3.004,0.0327,-0.048,8.1778,-2.9896,0.0636,0.0618
